reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
A2XLOT6AXNBHSH,B00HYE9YLG,1,1,5,"My granddaughter's birthday is at the end of this month, so it hasn't been opened.  But just looking at
it, you can see part of the inside of the box and see what is in it.  I love the sticky mosaics and really
enjoy it for myself and I'm 69.  As I was looking at the different sticky mosaics I came across the Owls
and nearly jumped out of my seat for they are her favorite. She will be 11.  I have done many of the
sticky mosaics and they are fun to do.",I love the sticky mosaics enjoy it for myself As I was looking at the different sticky mosaics I came across the Owls and nearly jumped out of my seat for they are her favorite . sticky mosaics and they are fun to do .
A2T1K8XSKGJ20W,B00ZBO37TQ,1,1,5,"I bought this to play with my grandkids ages 8 and 10.  They absolutely love it!  The cards are perfect in size and texture.  Since it was such a hit, I purchased a second set to mail to their home as a surprise gift for them to play with their  cousins .","I bought this to play with my grandkids ages 8 They absolutely love it ! The cards are perfect in size Since it was such a hit , I purchased a second set to mail to their home as a surprise gift for them to play with their   cousins ."
A3GBQFV3SMMS0Q,B00CQHYZ9C,1,1,4,This workbench is very cute. It makes lots of fun sounds and plays songs. My 1 year old really likes it.,This workbench is very cute . It makes lots of fun sounds and plays songs . My 1 year old really likes it .
AODP2WM7UAQVN,B00PDMJISK,1,1,5,Really Cute!,Really Cute !
A2AYC8L2W2A6G1,B00U26LQDM,1,1,4,"My 1 year old loves this! I even enjoyed putting it together for her. It's very cute and easy to adjust the pieces to make something new. My only complaint is that the cat and little girl pieces make it very visible that they are fixed together. You can see the lines where the pieces meet, so it makes me nervous that they'll break apart and potentially cause a problem. So far so good though!","My 1 year old loves this ! I even enjoyed putting it together for her . It is very cute and easy to adjust the pieces to make something new . My only complaint is where the pieces meet , so it makes me nervous that they will break apart because a problem . So far so good though !"
AP8DP2C59Z7EV,B00TF7ZZM2,1,1,4,"I bought this for a stocking stuffer for my daughter. When we go out to restaurants she always loves to play with these wax stick things. I was excited to see these online and I'm sure she will be ecstatic to see that ""Santa"" stuffed these in her stocking. I will say, please make sure you understand that you only get 24 of these sticks. I think that is my biggest disappointment. I would expect there to be more in the package for the price, especially when she normally gets these for free at restaurants. But she will ne thrilled none the less.","When we go out to restaurants she always loves to play with these wax stick things . I was excited to see these online and I am sure she will be ecstatic to see I will say , please make sure you understand that you only get 24 of these sticks . that is my biggest disappointment . when she normally gets these for free at restaurants . But she will ne thrilled none the less ."
A3DRJ3P6Q17108,B015QZMVBE,1,1,5,Grandson was happy to received this for Christmas.  He's a big fan of wrestling action figures.,Grandson was happy to received this for Christmas . He is a big fan of wrestling action figures .
A1TF2HW3RB4895,B0098MTEDU,-1,1,5,"Its power and toughness are equal to the number of creatures you control. Note that it's not on your side of the field; anybody trying to swipe your monsters won't bring its beat-status down. So build up a field, whether keen tokens or speedy cheap drops, and beef it up.

Whenever it hits a player for combat damage, it populates. (If you don't know what populate means, it lists it on this card.)
That's great for building up any tokens you've made, especially since you have token options in every color! So besides just doing a populate on something in Selesnya (8/8 GW vigilant Elemental tokens from ""Grove of the Guardian"" 's ability, for example), you can do that with Vraska's black Assassin tokens in Standard, or any token allies from the Zendikar block (blue/white in the case of a friend of mine) in Modern. Bant decks, Naya decks, any multi-color shenanigans that have some focus on creature-based damage.

Note too that it says when it deals combat damage to a ""player"", not ""opponent"". This means if you have some creative way of hitting yourself and not regretting it (or just get its damage redirected to your face instead of their's), you still populate.

It's a wonderful beater later-game for three anyways, whether you populate with it or not. But with that ability, why wouldn't you?","and toughness are equal to the number of creatures you control . that it is not on your side of the field ; anybody trying to swipe your monsters will not bring its beat - status down . So build up a field , whether keen tokens or speedy cheap drops , Whenever it hits a player for combat damage , it populates . That is great for building up any tokens you have made , especially since you have token options in every color ! So besides just doing a populate on something in Selesnya ( 8/8 GW vigilant Elemental tokens from "" Grove of the Guardian "" 's ability , for example ) that with Vraska 's black Assassin tokens in Standard , or any token allies from the Zendikar block ( blue / white in the case of a friend of mine ) in Modern . that have some focus on creature - based damage . when it deals combat damage to a "" player "" , not "" opponent "" . This means if you have some creative way of hitting yourself and not regretting it ( or just get its damage redirected to your face instead of their 's ) , you still populate . It is a wonderful beater later - game for three anyways , whether you populate with it that ability ,"
A32W8X7O0Z2MUP,B00U1ME6J8,1,1,5,bird repeats what u record,bird repeats what u record
A1V924G44ZVK6H,B0125KUMUA,1,1,5,Great princesses! my 5 year old loves them! they are bigger than i thought but that's great!,Great princesses ! my 5 year old loves them ! but that is great ! that is great !
